d001.s011.t012 bn:00002954n
d001.s018.t003 bn:00029676n
d004.s019.t005 bn:00058732n
d004.s008.t001 bn:15440968n
d002.s009.t003 bn:00031998n
d003.s013.t004 bn:00031998n
d006.s021.t007 bn:00027620n
d004.s012.t005 bn:00070914n
d001.s026.t005 bn:00001170n
d010.s026.t002 bn:00043372n
d003.s013.t007 bn:00011974n
d008.s003.t004 bn:00059169n
d009.s030.t003 bn:00059169n
d010.s021.t004 bn:00016853n
d002.s008.t006 bn:00005053n
d009.s003.t003 bn:00079045n
d006.s015.t004 bn:00005603n
d006.s024.t001 bn:00005603n
d012.s006.t012 bn:00046157n
d008.s005.t003 bn:00005917n
d008.s008.t005 bn:00005917n
d008.s019.t001 bn:00005917n
d008.s022.t002 bn:00005917n
d008.s025.t003 bn:00005917n
d008.s025.t008 bn:00005917n
d008.s026.t006 bn:00005917n
d008.s028.t001 bn:00005917n
d001.s011.t004 bn:00002291n
d009.s007.t005 bn:00032512n
d004.s002.t006 bn:00007085n
d004.s005.t003 bn:00007085n
d012.s017.t004 bn:00026980n
d008.s003.t002 bn:00007854n
d008.s008.t002 bn:00007854n
d008.s023.t002 bn:00007854n
d012.s011.t003 bn:00008267n
d013.s006.t004 bn:00008364n
d013.s008.t001 bn:00008364n
d013.s019.t003 bn:00008364n
d011.s012.t004 bn:00008553n
d004.s019.t004 bn:00008694n
d012.s015.t001 bn:00033854n
d009.s023.t003 bn:00063592n
d005.s004.t002 bn:00067181n
d006.s003.t002 bn:00067181n
d008.s006.t005 bn:00067181n
d008.s009.t002 bn:00067181n
d008.s012.t007 bn:00067181n
d009.s021.t001 bn:00067181n
d012.s016.t004 bn:00064607n
d006.s006.t005 bn:00014839n
d010.s003.t004 bn:00023864n
d006.s004.t004 bn:00009472n
d006.s010.t007 bn:00032047n
d003.s011.t002 bn:00027386n
d004.s011.t001 bn:00008679n
d009.s013.t003 bn:00012786n
d009.s023.t001 bn:00012786n
d011.s002.t004 bn:00045208n
d001.s014.t005 bn:00014103n
d001.s014.t003 bn:00016756n
d001.s016.t008 bn:00016756n
d001.s018.t006 bn:00016756n
d001.s023.t008 bn:00016756n
d004.s003.t003 bn:00016756n
d004.s017.t002 bn:00016756n
d006.s013.t007 bn:00019742n
d006.s005.t005 bn:00021904n
d006.s016.t008 bn:00021904n
d006.s025.t004 bn:00021904n
d001.s011.t013 bn:00028863n
d007.s009.t002 bn:00005601n
d007.s010.t002 bn:00005601n
d009.s009.t002 bn:00021207n
d009.s018.t004 bn:00021207n
d009.s002.t001 bn:00021207n
d012.s023.t003 bn:00026684n
d003.s009.t003 bn:00025645n
d009.s013.t008 bn:00026817n
d009.s015.t004 bn:00026817n
d009.s022.t003 bn:00026817n
d009.s025.t006 bn:00026817n
d009.s028.t009 bn:00026817n
d004.s011.t002 bn:00078546n
d001.s002.t005 bn:00028018n
d001.s008.t001 bn:00028018n
d003.s001.t003 bn:00028114n
d003.s002.t008 bn:00028114n
d005.s003.t007 bn:00028114n
d005.s006.t004 bn:00028114n
d005.s011.t003 bn:00028114n
d013.s009.t004 bn:00028114n
d013.s022.t006 bn:00028114n
d013.s023.t006 bn:00028114n
d009.s032.t007 bn:00028188n
d005.s011.t001 bn:00076744n
d006.s005.t001 bn:00076744n
d010.s003.t002 bn:00076744n
d003.s003.t003 bn:00028458n
d007.s009.t013 bn:00028615n
d012.s023.t006 bn:00005677n
d001.s018.t010 bn:00000020n
d006.s002.t001 bn:00000020n
d010.s008.t002 bn:00000020n
d001.s026.t011 bn:00029345n
d010.s023.t001 bn:00053531n
d007.s009.t009 bn:00044654n
d012.s014.t001 bn:00046021n
d008.s003.t007 bn:00018105n
d008.s014.t005 bn:00018105n
d008.s016.t004 bn:00018105n
d008.s021.t002 bn:00018105n
d006.s026.t003 bn:00030581n
d011.s007.t004 bn:00030861n
d011.s010.t006 bn:00030861n
d008.s002.t001 bn:00027529n
d008.s010.t001 bn:00027529n
d008.s012.t004 bn:00027529n
d008.s014.t001 bn:00027529n
d008.s017.t001 bn:00027529n
d006.s013.t001 bn:00048496n
d006.s013.t009 bn:00048496n
d006.s022.t013 bn:00048496n
d006.s032.t002 bn:00048496n
d001.s011.t015 bn:00025949n
d001.s009.t008 bn:00026694n
d008.s001.t003 bn:00029424n
d008.s003.t003 bn:00029424n
d008.s011.t003 bn:00029424n
d008.s025.t005 bn:00029424n
d012.s016.t001 bn:00032306n
d001.s016.t003 bn:00000741n
d001.s016.t009 bn:00043415n
d007.s008.t002 bn:00031735n
d005.s003.t009 bn:00031888n
d012.s023.t009 bn:00031888n
d001.s011.t001 bn:15193907n
d010.s001.t003 bn:00016403n
d010.s002.t013 bn:00016403n
d010.s004.t001 bn:00016403n
d010.s018.t002 bn:00016403n
d010.s026.t003 bn:00016403n
d007.s015.t003 bn:00015925n
d006.s005.t003 bn:00032896n
d004.s004.t003 bn:00034267n
d004.s007.t004 bn:00034267n
d004.s019.t007 bn:00034267n
d001.s012.t002 bn:00009919n
d006.s004.t007 bn:00034625n
d006.s026.t002 bn:00034625n
d001.s007.t002 bn:00035189n
d001.s025.t004 bn:00001697n
d008.s010.t007 bn:00035908n
d008.s023.t001 bn:00047356n
d008.s030.t001 bn:00067280n
d006.s021.t002 bn:00032381n
d001.s024.t005 bn:00047208n
d006.s008.t002 bn:00047208n
d006.s022.t005 bn:00047208n
d007.s017.t001 bn:00047208n
d010.s002.t004 bn:00047208n
d012.s002.t008 bn:00036202n
d012.s003.t008 bn:00036202n
d012.s006.t011 bn:00036202n
d006.s013.t008 bn:00053531n
d013.s022.t003 bn:00033911n
d001.s002.t003 bn:00036512n
d003.s002.t002 bn:00036512n
d004.s005.t004 bn:00036512n
d011.s006.t002 bn:00036512n
d011.s004.t002 bn:00032227n
d011.s012.t003 bn:15754286n
d011.s008.t003 bn:00081625n
d008.s014.t007 bn:00037572n
d004.s019.t003 bn:00033939n
d005.s005.t008 bn:00033939n
d005.s005.t004 bn:00055644n
d005.s006.t005 bn:00055644n
d005.s010.t005 bn:00055644n
d001.s005.t002 bn:00055652n
d010.s007.t005 bn:00007054n
d006.s006.t006 bn:00023308n
d006.s030.t004 bn:00023308n
d010.s001.t002 bn:00023308n
d010.s002.t014 bn:00023308n
d010.s007.t002 bn:00023308n
d010.s011.t003 bn:00023308n
d010.s019.t007 bn:00023308n
d010.s020.t004 bn:00023308n
d010.s025.t002 bn:00023308n
d013.s007.t003 bn:00023308n
d007.s009.t014 bn:00056857n
d012.s009.t005 bn:00072566n
d010.s007.t003 bn:00050588n
d010.s009.t004 bn:00050588n
d010.s017.t005 bn:00050588n
d010.s026.t005 bn:00050588n
d001.s011.t002 bn:00014791n
d001.s012.t003 bn:00014791n
d001.s021.t005 bn:00014791n
d004.s002.t002 bn:00035772n
d008.s020.t001 bn:00077790n
d012.s021.t008 bn:00041092n
d006.s025.t007 bn:00041204n
d001.s009.t001 bn:00035318n
d005.s003.t005 bn:00043544n
d009.s013.t001 bn:00042601n
d001.s026.t009 bn:00042759n
d001.s026.t010 bn:00042759n
d002.s010.t006 bn:00042759n
d002.s006.t003 bn:00006143n
d004.s016.t006 bn:00044994n
