d001.s017.t017_d001.s017.t017 bn:00000902n
d001.s017.t017_d001.s017.t018 bn:00035585n
d003.s002.t026_d003.s002.t026 bn:00059139n
d001.s009.t028_d001.s009.t028 bn:00006236n
d004.s018.t015_d004.s018.t015 bn:00004222n
d004.s019.t014_d004.s019.t014 bn:00004222n
d004.s023.t017_d004.s023.t017 bn:00004222n
d001.s018.t015_d001.s018.t015 bn:00004656n
d004.s008.t004_d004.s008.t004 bn:00004656n
d001.s023.t039_d001.s023.t039 bn:00004691n
d002.s038.t006_d002.s038.t006 bn:00021475n
d002.s042.t003_d002.s042.t003 bn:00021475n
d002.s044.t010_d002.s044.t010 bn:00021475n
d004.s020.t009_d004.s020.t009 bn:00006539n
d003.s008.t013_d003.s008.t013 bn:00007020n
d003.s002.t032_d003.s002.t032 bn:00001961n
d002.s009.t017_d002.s009.t017 bn:00014694n
d001.s010.t086_d001.s010.t086 bn:00017027n
d001.s023.t020_d001.s023.t020 bn:00017027n
d001.s024.t043_d001.s024.t043 bn:00017027n
d001.s037.t014_d001.s037.t014 bn:00017027n
d001.s038.t011_d001.s038.t011 bn:00017027n
d001.s009.t016_d001.s009.t016 bn:00015180n
d001.s010.t013_d001.s010.t013 bn:00015180n
d001.s010.t067_d001.s010.t067 bn:00015180n
d001.s010.t071_d001.s010.t071 bn:00015180n
d001.s014.t019_d001.s014.t019 bn:00015180n
d001.s028.t006_d001.s028.t006 bn:00015180n
d001.s028.t027_d001.s028.t027 bn:00015180n
d001.s029.t012_d001.s029.t012 bn:00015180n
d001.s029.t034_d001.s029.t034 bn:00015180n
d001.s037.t009_d001.s037.t009 bn:00015180n
d001.s038.t006_d001.s038.t006 bn:00015180n
d004.s009.t025_d004.s009.t025 bn:00015180n
d001.s010.t071_d001.s010.t073 bn:00052343n
d001.s028.t006_d001.s028.t008 bn:00052343n
d001.s029.t034_d001.s029.t036 bn:00052343n
d001.s034.t007_d001.s034.t009 bn:00052343n
d002.s004.t004_d002.s004.t005 bn:02710162n
d002.s009.t006_d002.s009.t006 bn:00007985n
d002.s015.t006_d002.s015.t006 bn:00003057n
d001.s004.t017_d001.s004.t017 NO_MATCH
d001.s010.t029_d001.s010.t029 bn:00059129n
d001.s010.t007_d001.s010.t007 bn:00577781n
d001.s011.t007_d001.s011.t007 bn:00577781n
d001.s018.t007_d001.s018.t007 bn:00577781n
d001.s018.t037_d001.s018.t037 bn:00577781n
d001.s027.t010_d001.s027.t010 bn:00577781n
d001.s027.t015_d001.s027.t015 bn:00577781n
d001.s029.t019_d001.s029.t019 bn:00577781n
d001.s033.t007_d001.s033.t007 bn:00577781n
d001.s033.t024_d001.s033.t024 bn:00577781n
d001.s023.t013_d001.s023.t013 bn:00024920n
d002.s053.t004_d002.s053.t004 bn:00020726n
d004.s005.t005_d004.s005.t005 bn:00020726n
d003.s005.t007_d003.s005.t007 bn:00021015n
d003.s009.t031_d003.s009.t031 bn:00021015n
d001.s002.t007_d001.s002.t007 bn:00021015n
d003.s009.t036_d003.s009.t036 bn:00021015n
d003.s009.t059_d003.s009.t059 bn:00021015n
d004.s002.t021_d004.s002.t021 bn:00021015n
d001.s034.t021_d001.s034.t021 bn:00021304n
d001.s037.t031_d001.s037.t031 bn:00021304n
d004.s006.t002_d004.s006.t002 bn:00052222n
d003.s003.t005_d003.s003.t005 bn:00021588n
d003.s001.t011_d003.s001.t011 bn:00021721n
d003.s005.t024_d003.s005.t024 bn:00021721n
d003.s009.t006_d003.s009.t006 bn:00021721n
d003.s015.t021_d003.s015.t021 bn:00021721n
d002.s005.t021_d002.s005.t021 bn:00020452n
d002.s008.t011_d002.s008.t011 bn:00020953n
d002.s031.t002_d002.s031.t002 bn:00020953n
d004.s023.t014_d004.s023.t014 bn:00022114n
d003.s012.t010_d003.s012.t010 bn:00022168n
d001.s017.t015_d001.s017.t015 bn:00001507n
d001.s030.t007_d001.s030.t007 bn:00023853n
d002.s048.t006_d002.s048.t006 bn:00060201n
d001.s010.t053_d001.s010.t053 bn:00011744n
d001.s004.t024_d001.s004.t024 bn:00005601n
d002.s022.t003_d002.s022.t003 bn:00025928n
d003.s009.t014_d003.s009.t014 bn:00067810n
d001.s018.t029_d001.s018.t029 bn:00025982n
d004.s010.t013_d004.s010.t013 bn:00027011n
d002.s002.t026_d002.s002.t026 bn:00027152n
d003.s009.t043_d003.s009.t046 bn:01941871n
d003.s009.t043_d003.s009.t043 bn:00026427n
d003.s009.t019_d003.s009.t019 bn:00027353n
d003.s020.t017_d003.s020.t017 bn:00027538n
d003.s021.t019_d003.s021.t019 bn:00027538n
d003.s004.t007_d003.s004.t007 bn:00027862n
d001.s023.t026_d001.s023.t026 bn:00027911n
d001.s028.t021_d001.s028.t021 bn:01537207n
d001.s035.t025_d001.s035.t025 bn:01537207n
d001.s001.t004_d001.s001.t004 bn:00028015n
d004.s002.t004_d004.s002.t004 bn:00028015n
d001.s015.t002_d001.s015.t002 bn:00028320n
d001.s018.t035_d001.s018.t035 bn:00028320n
d004.s022.t012_d004.s022.t012 bn:00028320n
d004.s022.t018_d004.s022.t018 bn:00028320n
d004.s022.t031_d004.s022.t031 bn:00022191n
d002.s042.t011_d002.s042.t013 bn:00076736n
d001.s017.t007_d001.s017.t007 bn:00021961n
d001.s019.t025_d001.s019.t025 bn:00021961n
d001.s027.t004_d001.s027.t004 bn:00021961n
d001.s027.t013_d001.s027.t013 bn:00021961n
d001.s028.t015_d001.s028.t015 bn:00021961n
d004.s011.t003_d004.s011.t003 bn:00021961n
d004.s021.t004_d004.s021.t004 bn:00021961n
d001.s030.t013_d001.s030.t013 bn:00029876n
d003.s021.t030_d003.s021.t030 bn:00014160n
d001.s028.t037_d001.s028.t037 bn:00027546n
