d001.s016.t014_d001.s016.t014 bn:00000902n
d001.s016.t014_d001.s016.t015 bn:00035585n
d002.s013.t006_d002.s013.t006 bn:00001296n
d001.s015.t020_d001.s015.t020 bn:00043545n
d004.s015.t031_d004.s015.t031 bn:00003341n
d001.s009.t029_d001.s009.t029 bn:00006236n
d004.s015.t016_d004.s015.t016 bn:00004222n
d004.s017.t031_d004.s017.t031 bn:00004222n
d004.s018.t016_d004.s018.t016 bn:00004222n
d004.s023.t020_d004.s023.t020 bn:00004222n
d003.s015.t025_d003.s015.t025 bn:00014712n
d001.s017.t014_d001.s017.t014 bn:00004656n
d004.s008.t004_d004.s008.t004 bn:00004656n
d001.s022.t034_d001.s022.t034 bn:00004691n
d003.s005.t039_d003.s005.t039 bn:00055177n
d001.s017.t036_d001.s017.t036 bn:00006561n
d003.s002.t025_d003.s002.t025 bn:00007293n
d003.s010.t039_d003.s010.t039 bn:00022811n
d003.s022.t010_d003.s022.t010 bn:00009714n
d002.s036.t002_d002.s036.t002 bn:00014379n
d002.s009.t016_d002.s009.t016 bn:00014689n
d002.s009.t007_d002.s009.t007 bn:00007985n
d004.s009.t023_d004.s009.t023 bn:00015180n
d004.s009.t004_d004.s009.t004 bn:00015267n
d004.s015.t011_d004.s015.t011 bn:00015267n
d004.s017.t016_d004.s017.t016 bn:00015267n
d004.s018.t005_d004.s018.t005 bn:00015267n
d004.s019.t015_d004.s019.t015 bn:00015267n
d001.s010.t065_d001.s010.t065 bn:00015910n
d001.s027.t005_d001.s027.t005 bn:00015910n
d001.s033.t006_d001.s033.t006 bn:00015910n
d001.s027.t005_d001.s027.t006 bn:00052343n
d001.s033.t006_d001.s033.t007 bn:00052343n
d002.s047.t005_d002.s047.t005 bn:00012528n
d003.s016.t021_d003.s016.t021 bn:00016403n
d001.s010.t070_d001.s010.t070 bn:00017027n
d001.s022.t018_d001.s022.t018 bn:00017027n
d001.s022.t025_d001.s022.t025 bn:00017027n
d001.s023.t035_d001.s023.t035 bn:00017027n
d001.s027.t010_d001.s027.t010 bn:00017027n
d001.s033.t011_d001.s033.t011 bn:00017027n
d001.s036.t014_d001.s036.t014 bn:00017027n
d001.s037.t009_d001.s037.t009 bn:00017027n
d001.s010.t080_d001.s010.t081 bn:00073708n
d001.s036.t014_d001.s036.t015 bn:00073708n
d001.s010.t063_d001.s010.t063 bn:00018141n
d001.s011.t030_d001.s011.t030 bn:00018141n
d001.s014.t017_d001.s014.t017 bn:00018141n
d001.s027.t049_d001.s027.t049 bn:00018141n
d001.s028.t035_d001.s028.t035 bn:00018141n
d001.s034.t010_d001.s034.t010 bn:00018141n
d001.s035.t011_d001.s035.t011 bn:00018141n
d004.s009.t015_d004.s009.t015 bn:00018141n
d002.s052.t005_d002.s052.t005 bn:00020726n
d001.s002.t009_d001.s002.t009 bn:00021015n
d003.s009.t040_d003.s009.t040 bn:00021015n
d003.s009.t062_d003.s009.t062 bn:00021015n
d003.s005.t003_d003.s005.t003 bn:00021015n
d003.s009.t035_d003.s009.t035 bn:00021015n
d002.s005.t020_d002.s005.t020 bn:00020452n
d002.s008.t011_d002.s008.t011 bn:00020953n
d002.s030.t002_d002.s030.t002 bn:00020953n
d002.s035.t003_d002.s035.t003 bn:00020953n
d004.s023.t017_d004.s023.t017 bn:00022118n
d001.s010.t050_d001.s010.t050 bn:00011744n
d001.s016.t012_d001.s016.t012 bn:00001507n
d004.s009.t021_d004.s009.t021 bn:00047235n
d004.s015.t018_d004.s015.t018 bn:00024461n
d004.s020.t004_d004.s020.t004 bn:00047235n
d004.s009.t021_d004.s009.t023 bn:00058966n
d002.s023.t002_d002.s023.t002 bn:00025928n
d003.s009.t046_d003.s009.t046 bn:00026427n
d003.s009.t015_d003.s009.t015 bn:00067810n
d004.s010.t016_d004.s010.t016 bn:00027011n
d003.s007.t011_d003.s007.t011 bn:00032179n
d003.s020.t020_d003.s020.t020 bn:00027538n
d003.s021.t011_d003.s021.t011 bn:00027538n
d001.s004.t014_d001.s004.t014 bn:00005601n
d001.s017.t030_d001.s017.t030 bn:00025982n
d001.s022.t021_d001.s022.t021 bn:00027919n
d002.s013.t012_d002.s013.t012 bn:00027919n
d004.s005.t020_d004.s005.t020 bn:00027919n
d002.s008.t023_d002.s008.t023 bn:00026967n
d001.s023.t027_d001.s023.t027 bn:00026301n
d004.s002.t003_d004.s002.t003 bn:00028015n
d001.s015.t002_d001.s015.t002 bn:00028320n
d001.s018.t011_d001.s018.t011 bn:00028320n
d004.s022.t010_d004.s022.t010 bn:00028320n
d004.s022.t016_d004.s022.t016 bn:00028320n
d004.s022.t030_d004.s022.t030 bn:00022191n
d002.s041.t014_d002.s041.t014 bn:00076736n
d002.s041.t014_d002.s041.t016 bn:00076736n
d001.s016.t004_d001.s016.t004 bn:00021961n
d001.s018.t027_d001.s018.t027 bn:00021961n
d001.s026.t002_d001.s026.t002 bn:00021961n
d001.s027.t013_d001.s027.t013 bn:00021961n
d001.s029.t012_d001.s029.t012 bn:00029876n
d004.s014.t006_d004.s014.t006 bn:00029876n
d002.s014.t005_d002.s014.t007 bn:00032362n
d002.s016.t003_d002.s016.t005 bn:00032362n
d001.s023.t016_d001.s023.t016 bn:00031085n
d003.s005.t028_d003.s005.t028 bn:00053403n
d003.s005.t028_d003.s005.t029 bn:00053403n
d003.s009.t009_d003.s009.t010 bn:00053403n
d002.s033.t006_d002.s033.t006 bn:00032395n
d001.s003.t029_d001.s003.t029 bn:00004992n
d001.s010.t011_d001.s010.t011 bn:00054128n
d001.s027.t026_d001.s027.t026 bn:00054128n
d001.s017.t013_d001.s017.t014 bn:00004656n
d001.s027.t039_d001.s027.t039 bn:00035914n
d003.s003.t016_d003.s003.t016 bn:00042904n
d002.s037.t007_d002.s037.t007 bn:00021475n
d002.s041.t002_d002.s041.t002 bn:00021475n
d002.s043.t009_d002.s043.t009 bn:00021475n
d002.s041.t002_d002.s041.t004 bn:00028018n
d002.s006.t003_d002.s006.t003 bn:00081285n
d002.s007.t001_d002.s007.t001 bn:00081285n
d002.s008.t002_d002.s008.t002 bn:00081285n
d002.s032.t011_d002.s032.t011 bn:00081292n
d002.s049.t013_d002.s049.t013 bn:00081285n
d002.s032.t011_d002.s032.t013 bn:00026837n
d001.s003.t016_d001.s003.t016 bn:00028015n
d003.s010.t031_d003.s010.t031 bn:00041853n
d003.s016.t017_d003.s016.t017 bn:00041853n
d003.s022.t012_d003.s022.t012 bn:00036202n
d002.s009.t013_d002.s009.t013 bn:00036821n
d002.s019.t008_d002.s019.t008 bn:00036821n
d002.s020.t019_d002.s020.t019 bn:00036821n
d002.s026.t005_d002.s026.t005 bn:00036821n
d002.s027.t020_d002.s027.t020 bn:00036821n
d002.s027.t029_d002.s027.t029 bn:00036821n
d002.s028.t006_d002.s028.t006 bn:00036821n
d002.s046.t026_d002.s046.t026 bn:00036821n
d002.s048.t006_d002.s048.t006 bn:00036822n
d002.s049.t005_d002.s049.t005 bn:00036821n
d003.s005.t017_d003.s005.t017 bn:00037072n
