d006.s013.t008 bn:00001530n
d008.s014.t005 bn:00018105n
d008.s026.t005 bn:00006845n
d001.s026.t011 bn:00029345n
d006.s021.t002 bn:00032381n
d002.s016.t004 bn:00047683n
d009.s007.t003 bn:00070537n
d012.s019.t003 bn:00023235n
d009.s032.t003 bn:00017171n
d001.s023.t002 bn:00058674n
d009.s025.t006 bn:00017904n
d012.s017.t003 bn:00046019n
d004.s004.t001 bn:00021286n
d004.s002.t006 bn:00007085n
d008.s025.t006 bn:00052888n
d004.s018.t003 bn:00002362n
d003.s013.t005 bn:00061135n
d001.s011.t012 bn:00002954n
d009.s032.t006 bn:00068130n
d010.s026.t002 bn:00043372n
d013.s007.t004 bn:00030605n
d006.s003.t002 bn:00067181n
d012.s008.t004 bn:00044759n
d010.s019.t005 bn:00048488n
d009.s011.t001 bn:00061757n
d005.s003.t005 bn:00043544n
d009.s028.t004 bn:00061135n
d001.s025.t006 bn:00028247n
d009.s013.t001 bn:00042601n
d002.s005.t001 bn:00037180n
d012.s013.t009 bn:00029670n
d010.s003.t003 bn:00048488n
d009.s013.t008 bn:00017904n
d001.s028.t001 bn:00079435n
d009.s015.t001 bn:00078738n
d010.s008.t007 bn:00025878n
d008.s023.t001 bn:00047356n
d004.s003.t005 bn:00068130n
d009.s031.t009 bn:00078738n
d002.s016.t008 bn:00070056n
d001.s011.t006 bn:00078738n
d001.s011.t013 bn:00028863n
d003.s011.t002 bn:00027386n
d012.s021.t006 bn:00046019n
d001.s014.t003 bn:00016756n
d013.s013.t001 bn:00071671n
d001.s004.t002 bn:00026838n
d006.s032.t005 bn:00023362n
d006.s021.t005 bn:00078738n
d003.s001.t001 bn:00080397n
d010.s019.t001 bn:00031709n
d004.s009.t005 bn:00033729n
d010.s014.t002 bn:00078738n
d008.s014.t001 bn:00027529n
d011.s010.t003 bn:00040851n
d012.s001.t001 bn:00046021n
d009.s030.t005 bn:00014137n
d008.s028.t001 bn:00005917n
d012.s003.t001 bn:00029806n
d009.s018.t002 bn:00050165n
d009.s021.t005 bn:00050165n
d008.s008.t005 bn:00005917n
d006.s008.t002 bn:00047208n
d008.s010.t006 bn:00051054n
d012.s002.t007 bn:00045163n
d010.s009.t002 bn:00027206n
d004.s016.t002 bn:00022227n
d001.s004.t004 bn:00043484n
d006.s015.t002 bn:00021624n
d012.s013.t010 bn:00029416n
d007.s004.t005 bn:00058701n
d008.s019.t001 bn:00005917n
d006.s032.t001 bn:00058461n
d005.s010.t005 bn:00055644n
d009.s032.t005 bn:00028934n
d012.s025.t001 bn:00077593n
d001.s019.t007 bn:00023235n
d009.s023.t002 bn:00029678n
d004.s011.t001 bn:00008679n
d007.s004.t001 bn:00055094n
d009.s023.t004 bn:00064234n
d009.s031.t010 bn:00067239n
d001.s024.t005 bn:00047208n
d004.s018.t001 bn:00021286n
