d006.s016.t007 bn:00069619n
d001.s006.t006 bn:00029676n
d001.s006.t007 bn:00029676n
d001.s013.t010 bn:00029676n
d001.s023.t009 bn:00029676n
d004.s017.t002 bn:00029678n
d009.s012.t001 bn:00029678n
d012.s001.t004 bn:00029676n
d012.s009.t004 bn:00029676n
d012.s013.t001 bn:00029667n
d008.s006.t006 bn:00065108n
d008.s014.t005 bn:00021396n
d008.s014.t008 bn:00021396n
d008.s016.t003 bn:00018105n
d008.s021.t003 bn:00018105n
d002.s002.t006 bn:00073699n
d002.s002.t014 bn:00073699n
d002.s003.t001 bn:00073699n
d002.s006.t003 bn:00073699n
d002.s008.t002 bn:00073699n
d002.s009.t002 bn:00073699n
d002.s010.t006 bn:00073699n
d002.s014.t001 bn:00073699n
d002.s015.t001 bn:00073699n
d007.s004.t003 bn:00073699n
d007.s006.t005 bn:00073699n
d007.s009.t006 bn:00073699n
d007.s013.t004 bn:00073699n
d007.s013.t007 bn:00073699n
d007.s017.t009 bn:00073699n
d007.s020.t005 bn:00073699n
d008.s015.t001 bn:00073699n
d008.s027.t006 bn:00073699n
d013.s014.t002 bn:00075151n
d013.s010.t003 bn:00008364n
d013.s022.t004 bn:00023236n
d010.s023.t005 bn:00031712n
d012.s003.t003 bn:00029806n
d010.s003.t001 bn:00032022n
d005.s005.t003 bn:00000648n
d001.s003.t003 bn:00002089n
d001.s009.t002 bn:00002086n
d001.s015.t002 bn:00002086n
d001.s021.t009 bn:00018745n
d004.s012.t010 bn:00070914n
d004.s015.t002 bn:00070914n
d012.s003.t004 bn:00057546n
d006.s029.t005 bn:00001267n
d010.s006.t005 bn:00053116n
d010.s024.t001 bn:00053116n
d001.s014.t005 bn:00014103n
d006.s025.t004 bn:00047690n
d006.s032.t001 bn:00047690n
d010.s002.t014 bn:00047690n
d010.s004.t001 bn:00047690n
d010.s010.t006 bn:00047690n
d010.s017.t004 bn:00047690n
d010.s021.t003 bn:00047690n
d006.s028.t003 bn:00001768n
d005.s001.t002 bn:00055177n
d005.s003.t006 bn:00055177n
d005.s004.t003 bn:00055177n
d007.s013.t002 bn:00002946n
d007.s009.t013 bn:00003340n
d013.s002.t007 bn:00003340n
d001.s011.t006 bn:00078738n
d001.s014.t006 bn:00078738n
d003.s013.t003 bn:00078738n
d003.s013.t006 bn:00078738n
d006.s020.t006 bn:00078738n
d006.s020.t007 bn:00078738n
